Index,Question Number,Answer,True Grade,GPT-4,GPT-3.5,Llama 2 Chat 70B,Llama 2 Chat 13B,Embeddings similarity
77,4.b,"PKT1 Recepção em t= 2.0s, reprodução escalonada para t= 3.0s PKT2 Recepção em t= 3.0s, reprodução escalonada para t= 4.0s PKT3 Recepção em t= 4.0s, reprodução escalonada para t= 5.0s PKT4 Recepção em t= 5.5s, reprodução escalonada para t= 6.0s PKT5 Recepção em t= 6.0s, reprodução escalonada para t= 7.0s PKT6 Recepção em t= 8.0s, reprodução escalonada para t= 8.0s PKT7 Recepção em t= 8.0s, reprodução escalonada para t= 9.0s PKT8 Recepção em t= 9.5s, reprodução escalonada para t= 10.0s PKT9 Recepção em t= 11.5 s, reprodução escalonada para t= 11s PKT10 Recepção em t=13s, reprodução escalonada para t= 12s PKT11 Recepção em t=13 s, reprodução escalonada para t= 13s PKT12 Recepção em t= 13.5 s, reprodução escalonada para t= 14s PKT13 Recepção em t= 15s, reprodução escalonada para t= 15s PKT14 Recepção em t= 16.5s, reprodução escalonada para t= 16s PKT15 Recepção em t= 18.5s, reprodução escalonada para t= 17s PKT16 Recepção em t= 20.5s, reprodução escalonada para t= 18s PKT17 Recepção em t= 20.5s, reprodução escalonada para t= 19s PKT18 Recepção em t= 22.5s, reprodução escalonada para t= 20s",0.5,0,0.5,0.4,0.6,0.9895
78,4.c,"Sim os pacotes 9, 10, 14, 15, 16, 17 e 18",0,0.3,0.2,0.6,0.4,0.8867
79,4.d,"A fração de pacotes perdidos é: 7/18 = 38,9%",0,0,0.4,0.3,0.9,0.9399
80,5.a,MD5 possui o tamanho de 128 bits e SHA1 possui o tamanho de 160 bits. Não pois é feito a verificação de integridade.,1,0.9,0.3,0.8,0.4,0.9222
81,1.a,S6; H7; S4; S1; H3; H4; h5,0,0.6,0.5,0.8,0.8,0.8288
82,1.b,"O máximo seria apenas 1, pois o que está fazendo a ponte das subredes com o Gateway é apenas um Switch (S1) que não faz gerenciamento de colisão. Se fosse um hub, no lugar do S1, isso seria diferente.
Ex: h1; H1; S2; S1; Gateway.",0,0,0.2,0.2,0.4,0.8544
83,2.a,"Pelos enlaces (4), (1), (5), (7)",0,1,0.2,0.4,0.4,0.8152
84,2.b,"Sim, será adicionada entrada nas tabelas.
Tabela S3: h3, 5 Tabela S1: h3, 1 Tabela S2, h3, 4",0.8,0.8,0.2,0.8,0.6,0.8640
85,4.a,"PKT1; 1s PKT2; 2s PKT3; 3s PKT4; 4s PKT5; 5s PKT6; 6s PKT7; 7s PKT8; 8s PKT9; 9s
PKT10; 10s PKT11; 11s
PKT12; 12s PKT13; 13s PKT14; 14s PKT15; 15s PKT16; 16s PKT17; 17s PKT18; 18s",0,0,0,0.4,0.6,0.8275
86,4.b,"PKT1; 2s PKT2; 3s PKT3; 4s
PKT4; 5,5s PKT5; 6s PKT6; 8s PKT7; 8s PKT8; 9,5s PKT9; 11,5s PKT10; 13s PKT11; 13s PKT12; 13,5s PKT13; 15s PKT14; 16,5s PKT15; 18,5s PKT16; 20,5s PKT17; 20,5s PKT18; 22,5s",0,1,0.2,0.6,0.6,0.8413
87,4.c,"Pacotes 15, 16, 17 e 18 serão perdidos.",1,1,1,0.8,0.8,0.9131
88,4.d,"Total de pacotes – 18, total de perdidos 4, logo, fração de pacotes perdidos: 4/18 = 0,22,
ou 22% de perda de pacote.",1,0.9,0.9,0.8,0.8,0.9608
89,5.a,"O tamanho do resumo gerado pelo padrão MD5 é de 128 bits e independe da mensagem utilizada. Já o modelo SHA1, tem por padrão 160 bits e também independe da mensagem utilizada.",1,1,1,0.9,0.8,0.9589
90,5.b,Ele deve ter no mínimo 1 bit para que as funções hash possam ser aplicáveis.,1,0.4,0,0.2,0.4,0.8410
91,5.c,"MD5: 533d997908a9c5603d0ee9d660a6112a
SHA1: 755edc8821c60e3fc8f6466f55ec15ade2e17889",0,0,0.2,0.8,0.6,0.8667
92,5.d,"MD5: 8306b1020b302a7c5ef3f5dcdeca99ce
SHA1: 84ebb380bdf66ef518076cf69a7636fbbeef505b",0,0,0.2,0.8,0.6,0.8498
93,5.e,"MD5: 533d997908a9c5603d0ee9d660a6112a MD5: 8306b1020b302a7c5ef3f5dcdeca99ce Apenas 3 caracteres iguais.
SHA1: 755edc8821c60e3fc8f6466f55ec15ade2e17889 SHA1: 84ebb380bdf66ef518076cf69a7636fbbeef505b Apenas 7 caracteres iguais.",0,0,0.2,0.4,0.4,0.9063
94,1.a,"Transmissão de s6 -> h5:
S6 -> h7 -> S4 -> S1 -> H3 -> H4 -> h5",0,0.2,0.8,0.8,0.8,0.9183
95,1.b,"Poderão ocorrer no máximo 9 conexões sem que haja colisões, limitadas a 1 por hub e várias por switch.
Um cenário possível é o seguinte: h1, s1, h4, h5, h7, s4, s5, h9, h11.",0,0.4,0.4,0.4,0.6,0.9111
96,2.a,"Esse quadro será transmitido pelos enlaces: 1, 4, 5 e 7",0,0.8,0,0.4,0.4,0.9590
97,2.b,"Switch 2: Destino h5, interface 1. Switch 1: Destino h5, interface 5. Switch 3: Destino h5, interface 7.",0,0.2,0.2,0.5,0.6,0.8953
98,3.a,"(1) Origem: 217.143.104.91, Destino: 81.53.223.8, TTL: 32 (2) Origem: 217.143.104.91, Destino: 81.53.223.8, TTL: 32 (3) Origem: 217.143.104.91, Destino: 81.53.223.8, TTL: 31 (4) Origem: 217.143.104.91, Destino: 81.53.223.8, TTL: 30 (5) Origem: 217.143.104.91, Destino: 81.53.223.8, TTL: 30",1,1,1,0.8,0.6,0.9465
99,3.b,"(1) Origem: e2:d1:b6:..., Destino: 2a:8d:78:... (2) Origem: e2:d1:b6:..., Destino: 2a:8d:78:...
 
(3) Origem: 76:f0:46:..., Destino: 7a:de:bf:.... (4) Origem: ca:0d:f1:..., Destino: 8e:c1:6d:... (5) Origem: ca:0d:f1:..., Destino: 8e:c1:6d:...",1,1,1,0.8,0.6,0.9361
100,4.a,"PKT1 Recepção em t = 2.0 s, reprodução escalonada para t = 3.0 s PKT2 Recepção em t = 3.0 s, reprodução escalonada para t = 4.0 s PKT3 Recepção em t = 4.0 s, reprodução escalonada para t = 5.0 s PKT4 Recepção em t = 5.5 s, reprodução escalonada para t = 6.0 s PKT5 Recepção em t = 6.0 s, reprodução escalonada para t = 7.0 s PKT6 Recepção em t = 8.0 s, reprodução escalonada para t = 8.0 s PKT7 Recepção em t = 8.0 s, reprodução escalonada para t = 9.0 s PKT8 Recepção em t = 9.5 s, reprodução escalonada para t = 10.0 s PKT9 Recepção em t = 11.5 s, reprodução escalonada para t = 11.0 s PKT10 Recepção em t = 13.0 s, reprodução escalonada para t = 12.0 s PKT11 Recepção em t = 13.0 s, reprodução escalonada para t = 13.0 s PKT12 Recepção em t = 13.5 s, reprodução escalonada para t = 14.0 s PKT13 Recepção em t = 15.0 s, reprodução escalonada para t = 15.0 s PKT14 Recepção em t = 16.5 s, reprodução escalonada para t = 16.0 s PKT15 Recepção em t = 18.5 s, reprodução escalonada para t = 17.0 s PKT16 Recepção em t = 20.5 s, reprodução escalonada para t = 18.0 s PKT17 Recepção em t = 20.5 s, reprodução escalonada para t = 19.0 s PKT18 Recepção em t = 22.5 s, reprodução escalonada para t = 20.0 s",0.5,0,0.5,0.4,0.6,0.9929
101,4.b,"PKT1 Recepção em t = 2.0 s, reprodução escalonada para t = 3.0 s PKT2 Recepção em t = 3.0 s, reprodução escalonada para t = 4.0 s PKT3 Recepção em t = 4.0 s, reprodução escalonada para t = 5.0 s PKT4 Recepção em t = 5.5 s, reprodução escalonada para t = 6.0 s PKT5 Recepção em t = 6.0 s, reprodução escalonada para t = 7.0 s PKT6 Recepção em t = 8.0 s, reprodução escalonada para t = 8.0 s PKT7 Recepção em t = 8.0 s, reprodução escalonada para t = 9.0 s PKT8 Recepção em t = 9.5 s, reprodução escalonada para t = 10.0 s PKT9 Recepção em t = 11.5 s, reprodução escalonada para t = 11.0 s PKT10 Recepção em t = 13.0 s, reprodução escalonada para t = 12.0 s PKT11 Recepção em t = 13.0 s, reprodução escalonada para t = 13.0 s PKT12 Recepção em t = 13.5 s, reprodução escalonada para t = 14.0 s PKT13 Recepção em t = 15.0 s, reprodução escalonada para t = 15.0 s PKT14 Recepção em t = 16.5 s, reprodução escalonada para t = 16.0 s PKT15 Recepção em t = 18.5 s, reprodução escalonada para t = 17.0 s PKT16 Recepção em t = 20.5 s, reprodução escalonada para t = 18.0 s PKT17 Recepção em t = 20.5 s, reprodução escalonada para t = 19.0 s PKT18 Recepção em t = 22.5 s, reprodução escalonada para t = 20.0 s",0.5,0,0.5,0.4,0.6,0.9929
102,4.c,"haverá erro nos pacotes: 9, 10, 14, 15, 16, 17, 18.",0,0.2,0.4,0.4,0.4,0.8986
103,4.d,A fração será calculada dividindo o número de pacotes perdidos pelo total de pacotes: 7/18 = 38.8%,0,0,0.2,0.3,0.8,0.9482
104,5.a,"MD5: Gera um valor hash 128 bits expresso em 32 caracteres, independente da mensagem M.
SHA1: Gera um valor hash de 160 bits expresso em 40 dígitos, independente da mensagem M.",1,1,0.8,0.8,0.8,0.9238
105,5.b,"MD5: pode ser gerado a partir de qualquer tamanho, mesmo de uma string vazia. SHA1: O mesmo se aplica, sem restringir a um tamanho mínimo.",1,1,1,0.8,0.6,0.9040
106,5.c,"Texto de entrada: ​Boas funções de hash são sensíveis a modificações! MD5: c82c8346c80c938fd2cc6a8a53033669
SHA1: e5c0ca4f6a30d97f925645758a63c1e611cd9ea7",1,1,1,0.9,0.8,0.8885
107,5.d,"Texto de entrada: ​Boas funções de hash são sensíveis a modificações. MD5: a48d2299b9f26ff6d7d63f42108f9c01
SHA1: 8a4fbf99ee7df1de9ff4bb7d9b27fbc5eae85064",1,1,1,0.9,0.8,0.9077
108,5.e,"1. MD5: c82c8346c80c938f​d​2cc6a8a53033669
2. MD5: a48d2299b9f26ff6​d​7d63f42108f9c01
a. Apenas o caracter d, que se encontra na posição 17 não foi alterado
3. SHA1: e5c0ca4f6a30d97f​9​25645758a63c1e611cd9ea7
4. SHA1: 8a4fbf99ee7df1de​9​ff4bb7d9b27fbc5eae85064
a. Nenhum caracter se manteve igual.",0.5,0.5,0.2,0.4,0.8,0.9119
109,5.f,"Foi encontrada a mensagem ""​AP 2 de Redes"" que possui 2 caracteres em comum com a mensagem.
MD5: 224a181474e0fed1​d​c​c​ff3aeda6475ab",1,0.4,0.3,0.4,0.6,0.8712
110,1.a,"h5, s3, h6, H4, H3, S1, S4, H7, s5, s6, h8",0,0.6,0.6,0.8,0.8,0.8398
111,1.b,"h1, s1, h4, h5, h7, s4, s5, h9, h11",0,0.4,0.6,0.8,0.4,0.8080
112,2.a,"O quadro será transmitido pelos enlaces 1, 4, 5, 7.",0,0.8,0.4,0.4,0.4,0.9707
113,2.b,"Os seguintes switches irão adicionar entradas em sua tabela de encaminhamento:
Switch S1 — destino h3 / interface 1 Switch S2 — destino h3 / interface 4 Switch S3 – destino h3 / interface 5 Switch S4 – destino h3 / interface 9",1,1,1,0.8,0.8,0.9966
114,3.a,"\begin{tabular}{|c|c|c|c|c|}
\hline
\textbf{O:} 217.143.104.91 & \textbf{O:} 217.143.104.91 & \textbf{O:} 217.143.104.91 & \textbf{O:} 217.143.104.91 & \textbf{O:} 217.143.104.91 \\
\textbf{D:} 81.53.223.8 & \textbf{D:} 81.53.223.8 & \textbf{D:} 81.53.223.8 & \textbf{D:} 81.53.223.8 & \textbf{D:} 81.53.223.8 \\
\textbf{TTL:} 32 & \textbf{TTL:} 32 & \textbf{TTL:} 31 & \textbf{TTL:} 30 & \textbf{TTL:} 30 \\
\hline
\end{tabular}
",1,1,1,0.8,0.6,0.8806
115,3.b,"\begin{tabular}{|c|c|c|c|}
\hline
\textbf{O:} e2:d1:b6... & \textbf{O:} e2:d1:b6... & \textbf{O:} 76:f0:46... & \textbf{O:} ca:0d:f1... \\
\textbf{D:} 2a:8d:78... & \textbf{D:} 2a:8d:78... & \textbf{D:} 7a:de:bf... & \textbf{D:} 8e:c1:6d... \\
\hline
\end{tabular}
",1,0.8,1,0.8,0.6,0.8527
116,4.a,"PKT1 Recepção em t = 2.0 s, reprodução escalonada para t = 4.0 s
PKT2 Recepção em t = 3.0 s, reprodução escalonada para t = 5.0 s
PKT3 Recepção em t = 4.0 s, reprodução escalonada para t = 6.0 s
PKT4 Recepção em t = 5.5 s, reprodução escalonada para t = 7.0 s
PKT5 Recepção em t = 6.0 s, reprodução escalonada para t = 8.0 s
PKT6 Recepção em t = 8.0 s, reprodução escalonada para t = 9.0 s
PKT7 Recepção em t = 8.0 s, reprodução escalonada para t = 10.0 s
PKT8 Recepção em t = 9.5 s, reprodução escalonada para t = 11.0 s
PKT9 Recepção em t = 11.5 s, reprodução escalonada para t = 12.0 s
PKT10 Recepçãoemt=13.0s,reproduçãoescalonadaparat=13.0s
PKT11 Recepçãoemt=13.0s,reproduçãoescalonadaparat=14.0s
PKT12 Recepçãoemt=13.5s,reproduçãoescalonadaparat=15.0s
PKT13 Recepçãoemt=15.0s,reproduçãoescalonadaparat=16.0s
PKT14 Recepçãoemt=16.5s,reproduçãoescalonadaparat=17.0s
PKT15 Recepçãoemt=18.5s,reproduçãoescalonadaparat=18.0s
PKT16 Recepçãoemt=20.5s,reproduçãoescalonadaparat=19.0s
PKT17 Recepção em t = 20.5 s, reprodução escalonada para t = 20.0 s
PKT18 Recepçãoemt=22.5s,reproduçãoescalonadaparat=21.0s",1,1,0.9,0.8,0.8,0.9923
117,4.b,"PKT1 Recepção em t = 2.0 s, reprodução escalonada para t = 4.0 s
PKT2 Recepção em t = 3.0 s, reprodução escalonada para t = 5.0 s
PKT3 Recepção em t = 4.0 s, reprodução escalonada para t = 6.0 s
PKT4 Recepção em t = 5.5 s, reprodução escalonada para t = 7.0 s
PKT5 Recepção em t = 6.0 s, reprodução escalonada para t = 8.0 s
PKT6 Recepção em t = 8.0 s, reprodução escalonada para t = 9.0 s
PKT7 Recepção em t = 8.0 s, reprodução escalonada para t = 10.0 s
PKT8 Recepção em t = 9.5 s, reprodução escalonada para t = 11.0 s
PKT9 Recepção em t = 11.5 s, reprodução escalonada para t = 12.0 s
PKT10 Recepçãoemt=13.0s,reproduçãoescalonadaparat=13.0s
PKT11 Recepçãoemt=13.0s,reproduçãoescalonadaparat=14.0s
PKT12 Recepçãoemt=13.5s,reproduçãoescalonadaparat=15.0s
PKT13 Recepçãoemt=15.0s,reproduçãoescalonadaparat=16.0s
PKT14 Recepçãoemt=16.5s,reproduçãoescalonadaparat=17.0s
PKT15 Recepçãoemt=18.5s,reproduçãoescalonadaparat=18.0s
PKT16 Recepçãoemt=20.5s,reproduçãoescalonadaparat=19.0s
PKT17 Recepção em t = 20.5 s, reprodução escalonada para t = 20.0 s
PKT18 Recepçãoemt=22.5s,reproduçãoescalonadaparat=21.0s",1,1,0.9,0.8,0.8,0.9923
118,4.c,"Sim, os pacotes 15, 16, 17, e 18 não serão reproduzidos com sucesso",1,1,1,0.8,0.8,0.9808
119,4.d,"A fração dos pacotes perdidos é dada por 4/18 = 22,2%",1,1,1,0.8,0.8,0.9629
120,5.a,O MD5 – 128 bits e o SHA1 – 160 bits. Não.,1,1,0.8,0.8,0.8,0.8941
121,5.b,"As funções MD5 e SHA1 não determinam o tamanho mínimo. Logo, M pode ter qualquer tamanho.",1,1,1,1,0.8,0.9847
122,5.c,"O resumo MD5 desta frase é “c82c8346c80c938fd2cc6a8a53033669”, e o seu resumo SHA1 é “e5c0ca4f6a30d97f925645758a63c1e611cd9ea7”.",1,1,1,1,1,1.0000
123,5.d,"O resumo MD5 desta frase com ponto final é “a48d2299b9f26ff6d7d63f42108f9c01”, e utilizando o SHA1 é “8a4fbf99ee7df1de9ff4bb7d9b27fbc5eae85064”",1,0.9,0.9,0.9,0.8,0.9628
124,5.e,"Comparando os resumos MD5 entre as duas frases, conferimos que somente o 17º dos 32 caracteres gerados pelo resumo é igual. Já comparando os resumos SHA1 entre as duas frases, conferimos que o 17º e o 23º caractere são idênticos.",1,0.8,0.8,0.8,0.6,0.9791
125,5.f,A mensagem “Em busca do meu futuro” cujo hash MD5 é “e8e59c0ff5028cd6c5d09913d526033c” possui 2 caracteres iguais,1,0.7,0.5,0.4,0.6,0.9097
126,1.a,"s6, H7, s5, h8, S4, S1, H3, H4, h5, s3, h6, H5, h7, H6, s4",1,0.6,0.6,0.8,0.8,0.8342
127,1.b,"No máximo 7 servidores e estações poderão transmitir ao mesmo tempo. Uma situação dessas poderia ser quando os nós h1, s1, h4, h5, s5, h9 e h11 transmitem ao mesmo tempo.",1,1,0.8,0.8,0.8,0.9456
128,2.a,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12",1,0,1,0.8,0.4,0.8423
129,2.b,"\begin{tabular}{|c|c|c|}
\hline
\rowcolor{blue!50} \textbf{Tabela do switch} & \textbf{Destino} & \textbf{Interface} \\
\hline
S1 & h3 & 1 \\
S2 & h3 & 4 \\
S3 & h3 & 5 \\
S4 & h3 & 9 \\
\hline
\end{tabular}
",1,1,1,0.8,0.6,0.9150
130,3.a,"\begin{tabular}{|c|c|c|c|}
\hline
\rowcolor{blue!40} \textbf{Enlace} & \textbf{TLL} & \textbf{Origem} & \textbf{Destino} \\
\hline
h1 – S1 & 32 & 217.143.104.91 & 81.53.223.8 \\
S1 – R1 & 32 & 217.143.104.91 & 81.53.223.8 \\
R1 – R2 & 31 & 217.143.104.91 & 81.53.223.8 \\
R2 – S2 & 30 & 217.143.104.91 & 81.53.223.8 \\
S2 – h2 & 30 & 217.143.104.91 & 81.53.223.8 \\
\hline
\end{tabular}
",1,1,1,0.8,0.8,0.9095
131,3.b,"\begin{tabular}{|c|c|c|}
\hline
\rowcolor{blue!40} \textbf{Enlace} & \textbf{Origem} & \textbf{Destino} \\
\hline
h1 $\rightarrow$ S1 & e2:d1:b6... & 2a:8d:78... \\
S1 $\rightarrow$ R1 & e2:d1:b6... & 2a:8d:78... \\
R1 $\rightarrow$ R2 & 76:f0:46... & 7a:de:bf... \\
R2 $\rightarrow$ S2 & ca:0d:f1... & 8e:c1:6d... \\
S2 $\rightarrow$ h2 & ca:0d:f1... & 8e:c1:6d... \\
\hline
\end{tabular}
",1,1,1,0.8,0.8,0.9048
132,4.a,"\begin{tabular}{|c|c|c|}
\hline
\rowcolor{blue!40} \textbf{Pacote} & \textbf{Instante de recepção} & \textbf{Escalonado para} \\
\hline
PKT1 & \( t = 2s \) & \( t = 4s \) \\
PKT2 & \( t = 3s \) & \( t = 5s \) \\
PKT3 & \( t = 4s \) & \( t = 6s \) \\
PKT4 & \( t = 5,5s \) & \( t = 7s \) \\
PKT5 & \( t = 6s \) & \( t = 8s \) \\
PKT6 & \( t = 8s \) & \( t = 9s \) \\
PKT7 & \( t = 8s \) & \( t = 10s \) \\
PKT8 & \( t = 9,5s \) & \( t = 11s \) \\
PKT9 & \( t = 11,5s \) & \( t = 12s \) \\
PKT10 & \( t = 13s \) & \( t = 13s \) \\
PKT11 & \( t = 13s \) & \( t = 14s \) \\
PKT12 & \( t = 13,5s \) & \( t = 15s \) \\
PKT13 & \( t = 15s \) & \( t = 16s \) \\
PKT14 & \( t = 16,5s \) & \( t = 17s \) \\
PKT15 & \( t = 18,5s \) & \( t = 18s \) \\
PKT16 & \( t = 20,5s \) & \( t = 19s \) \\
PKT17 & \( t = 20,5s \) & \( t = 20s \) \\
PKT18 & \( t = 22,5s \) & \( t = 21s \) \\
\hline
\end{tabular}
",1,1,1,0.8,0.8,0.9204
133,4.b,"\begin{tabular}{|c|c|c|}
\hline
\rowcolor{blue!40} \textbf{Pacote} & \textbf{Instante de recepção} & \textbf{Escalonado para} \\
\hline
PKT1 & \( t = 2s \) & \( t = 4s \) \\
PKT2 & \( t = 3s \) & \( t = 5s \) \\
PKT3 & \( t = 4s \) & \( t = 6s \) \\
PKT4 & \( t = 5,5s \) & \( t = 7s \) \\
PKT5 & \( t = 6s \) & \( t = 8s \) \\
PKT6 & \( t = 8s \) & \( t = 9s \) \\
PKT7 & \( t = 8s \) & \( t = 10s \) \\
PKT8 & \( t = 9,5s \) & \( t = 11s \) \\
PKT9 & \( t = 11,5s \) & \( t = 12s \) \\
PKT10 & \( t = 13s \) & \( t = 13s \) \\
PKT11 & \( t = 13s \) & \( t = 14s \) \\
PKT12 & \( t = 13,5s \) & \( t = 15s \) \\
PKT13 & \( t = 15s \) & \( t = 16s \) \\
PKT14 & \( t = 16,5s \) & \( t = 17s \) \\
PKT15 & \( t = 18,5s \) & \( t = 18s \) \\
PKT16 & \( t = 20,5s \) & \( t = 19s \) \\
PKT17 & \( t = 20,5s \) & \( t = 20s \) \\
PKT18 & \( t = 22,5s \) & \( t = 21s \) \\
\hline
\end{tabular}
",1,1,1,0.8,0.8,0.9204
134,4.c,"Sim. Os pacotes 15, 16, 17 e 18 serão perdidos.",1,1,1,0.8,0.8,0.9280
135,4.d,4/18 pacotes foram perdidos (22%).,1,0.9,0.8,0.8,0.8,0.9187
136,5.a,"O tamanho do resumo gerado pelos padrões MD5 e SHA1 é de respectivamente, 128 e 160 bits.",1,0.9,1,0.8,0.8,0.9465
137,5.b,Não há tamanho mínimo para nenhuma das duas funções serem utilizadas.,1,1,1,0.8,0.8,0.8503
138,5.c,"MD5: c82c8346c80c938fd2cc6a8a53033669
SHA1: e5c0ca4f6a30d97f925645758a63c1e611cd9ea7",1,1,1,1,0.8,0.8712
139,5.d,"MD5: a48d2299b9f26ff6d7d63f42108f9c01
SHA1: 8a4fbf99ee7df1de9ff4bb7d9b27fbc5eae85064",1,1,1,1,0.8,0.8686
140,5.e,Somente um caracter no MD5 e dois caracteres no SHA1 são idênticos.,1,0.1,0.8,0.6,0.4,0.8903
141,5.f,"A mensagem é simplesmente a letra “a”, e possui 4 bytes iguais. MD5: 0cc175b9c0f1b6a831c399e269772661",1,0.9,0.2,0.8,0.4,0.8874
